name;city;object_type;star_number;area;guest_grade;review_number;meal_plan;is_free_cancel_reservation;price;href;latitude;longitude;staff;facilities;cleanliness;comfort;value_for_money;location;wifi
Ona Alborada;Costa del Silencio;Apartament z 1 sypialnią;3.0;53.0;8.5;979;No meal;True;2382;https://www.booking.com/hotel/es/alborada-arona.pl.html?label=gen173nr-1FCAEoggI46AdIHlgEaLYBiAEBmAEeuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKL5tKyBsACAdICJDM0MTYyMzRkLWQ2NGYtNGNmOS1hZTRjLWM1ZWUzY2FlNTJkONgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-09-07&checkout=2024-09-14&dest_id=777&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&nflt=ht_id%3D204&srpvid=33c9730b5bbb051b&srepoch=1716826957&all_sr_blocks=27871905_380302112_2_0_0&highlighted_blocks=27871905_380302112_2_0_0&matching_block_id=27871905_380302112_2_0_0&sr_pri_blocks=27871905_380302112_2_0_0__55944&from=searchresults#hotelTmpl;28.00919325;-16.65325642;9.0;8.3;8.8;8.9;8.7;8.3;7.6
Hotel Botanico y Oriental Spa Garden;Puerto de la Cruz;Pokój dwuosobowy typu Deluxe z 1 lub 2 łóżkami i widokiem na spa;5.0;;9.0;1159;Breakfast;True;6603;https://www.booking.com/hotel/es/botanico-y-oriental-spa-garden.pl.html?label=gen173nr-1FCAEoggI46AdIHlgEaLYBiAEBmAEeuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKL5tKyBsACAdICJDM0MTYyMzRkLWQ2NGYtNGNmOS1hZTRjLWM1ZWUzY2FlNTJkONgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-09-07&checkout=2024-09-14&dest_id=777&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&nflt=ht_id%3D204&srpvid=33c9730b5bbb051b&srepoch=1716826957&all_sr_blocks=1567101_204078346_2_41_0&highlighted_blocks=1567101_204078346_2_41_0&matching_block_id=1567101_204078346_2_41_0&sr_pri_blocks=1567101_204078346_2_41_0__155075&nad_id=25da15ab-b448-4a83-9406-18817efac52b_0&nad_cpc=0.5&nad_track=eyJyYW5rIjoxLCJrb2RkaVRyYWNraW5nSW5mbyI6IjRydVdIbzJhanUweTV5MjhRL0VxWjNuWmwvRis3VjlMazluZVkxM1dtYjd2bjViRVF0ZmgvbXVXS0k2VHMxdkZtenFha1ZNclhGRlZ6YnRuVUFSQU92d3ljMVNUdjl5UXpUaldlVkp1WWNFd2t2NUhHbFk0RGM0eFp0M0VTSlE0U0NIalhHNFkxa05WYnJjNEg5Z1FITllBU0kwTElXK2c5T0N4TzRqZ0ZyUFNEeko5VWFDWjhIand2L2RsQW1BS0ZQZWlCclh2RHJkZGxBcXYvUFlwVTdpelc5UXVBclhOb2llemtvdWZnK2Z3dmVSb0wrN1RielVCSEQvbTZldGpDZGJJWEJwN1grK1o4QXlBUlVCdC96RExCWTZaTDRHN2gvQnZERWJBSGhqTEtRVnMvQnZIb05FdkpwWWh2YjZNMFk5dmJVaGM4cmgzeW1DeTFHWFN0TGFWb2xLY0xEK3E5L1phVnZZdXBuMGZIekVXSHhEWExEdUR6cjkzQ0NqaGg0WnJYMkQ3eUNjRjByL1pyL3dKNXJRdEE0aC9ickdiNS9oTnRYV2EvYXVpbnUySHBHTjVLcFhlS3FoOVZ5bjRTTG5zZGUvUWIrN3R1U3hWUlkxVjhtYWYvaHZmWkl5b01VbFJpaVdSbEpLbnhrRkVsUjkvc3dvREJ0TEpIL0FJbmQxMzBHRlViMXVRZWI0VzAvMWFHNysxL2RpRU4zWndHd1BWb1NHeGl6L2JwUExGbWVtSHlQVXpuT2RLRG5idDdKTEdUanBsRW81ODZFUjc3WWMzeUdkdFBOVjVML2VTZ25PdFVPek9TNCtrWFRUL0ZLdUZjclpXVUpCZytycWlUVWExVmRQaG52MnFaSEh5QktNMHFrb3BQdVVlRFJjYkkwQXZBazZ5STU0K3JPWGdjek5mN2swMlMySU9keG9KZ3dYWWc0M0RvSnZkMVJpdHA0Qjhydkh2MFp6RzhoVkJlcE5jRDk5ZG5ZYk93SERtWnlROHN3S1BaUGpkaEZXVlZSRFNjcU5DM2RQTWJFZk1Ma2w5WkpOYkIwUFQyWWFyVTFiT3NqRkV6SkNJWVdORE5Hdnh1VFYzRHBUY3owVHBIL3pqTXBoRzZuNkJuVy9oR0VHcHFHN2pvUlNyZnpQUUUxdENxSThidFlZbzB3ejA4Z2VVdnprZ1JOT25ZSEovL3kwclZBY1F3MWx0VlNNekZZU1lFNlZoRDVLS0psOVhLVUgzVHQ0UGhGbGo0TmdIVGJLSmdqbFZwTlFDay9hSHZROEMrbk9RUTl2aTNkMUltME1ZVmEzSDRZaUFyc0oyMHVGQy84RmtEMUpaZjVRUnFNQ1pYSURBR283K2pJUU9sSlE2dGJMUGxad1pLME9RWW1yekhGUVo0eUQ5Y0NjcmZObDFFb0hrTUhsUmhJdjRsQXhWTGdhbC9tZWZuWG81aFJyM2djcnJ0NXFLL1JvR0pkdUZzRmNWQUgyaThLVGhrNGdiSTU0U0tGZzg0WW1XSWkrSndzWHNqNC9sZDg4bkVzTE1ZZHE3djRlZmNrZm9zNHlUVHdQcE0vcklwSGdhR09hT1NBcUIrVVlwanRiQ0t6eEVPaEhXNXNGbGo2d0hUNmRPekZzV2RXakxoSzI2aVpEWlRFUDBocU5KQ0JYYU5TQVFZazBSMEFVMDNaU2tPaEdJU3o2RWdhK3c0Vk1QNmwrc3ZaN1pJVUdlVXA3NC9MOG8xc3hPL0M0YUVZQWUzdnVqU01lQ05tejlJU2pNVFhzZlYxNWdrOGZVUXJnc1JSM0RDa0dISDFmWW4zNGlEWk5WNFVuYXZaRmhIV2M2RHd0cGRHQTF6K2dOUzh3RkxQMFZRa05ZeWZBVzJqY0ZHSkRyeUhVZkZRWDhKL0Z0QTJYcXYvY1lBVllJZ2t1aWFZWEp2TTZoYnk0QUZqTHZ6S2RKemw0UkZ6dVdIeGVVMnlrazhGbXZiUVczWDJQOFowSHhlSDEyUUxOUERMMXdxeHRwY3BTakdrU3dxNDhLdGwvYTBTb1RSL0lTTElXeWNPVkVhb3RLVmtJTXczZWJwMUNtUzV1UTUyU2R0ak9CdVhyNEpBV2tWN3UwZGljWHowbUtBTlpIeEdUaVFsbXVSZmxtMEEzR2tVZEpmVDdad2EzZWZlelo5K0QwS2Z1S0oxSGlWZU1tZDlXbnk3V25pd1M0SG5rNGNVZFNoMzBHWnNuaExKZ1dmemx6eUZUNEtEdzduc0Z5Nm1pazdZa1NLbVpoUFowVXBWVnA4S2VGQnE5clU1SERyL1VWeVdRSEc0cFYyd1BQc0k3K0FQaktOR0tXRldUbTJDVEJaeXh5cm5SRzJTbTZuNzhDNkp5Ky9zRHhqUDZNWldLVnYrUUlqa0xEcHdBdHIwR1hKSVp2NjMyaTA4VWVzMjR1QnN2dUFIVE9veWFSQUJSSVlHSTJaUGdSbTJxR0pMa0cvMnZLOUJnaTEzZCtzZjFwdTIvUkhSQWFwa3BjRk1qRmxITjllV2FkTEt1TlNuWjNSRjMrQThNL0Y2NTM3ekpmYytXWUV0S1ZZdSt3K1VDVm13UDdVNlk5NGtaTkxzSUxhVUxXbXZoeGlFVHFJTXlQN3o4amZ3MHQ3dWhKdXZJOFhwejJjdllNZXRSd3pqYllWOVNkL2NFL2xvaW1WWUQvd25WN2NCRVR1NWd0VWd6aktId296dXdaQ29hanp5U2t6eFBUQ3dMUHVkaDlhaTQ5OVRHcG0rWVc4cEltcFlGL2JpTml6ZDFBUCsxR1E2Yno2UTlvZXljUHRKTjh2My9BeTRqT1ZjaVRJcjRRSElqVmtJaUg0ZXpITUJHZTVCMlJoSDdOYnJobVRGWmdPNE9iRkhHS0lkVzhUVlhkUlRZNFJmamVkYmhXSkF3K1NhQ2I2TG0rdU1HYmQxYWwyRzNKVTBrakRrOWEwRzJuZ0hxZUlNZEt0eWRFZ3AyWmpxL21MNXlISDA1M2JZTVdFcmhZNGpJSmp0YXhycGNoY201T0hFTzhsVGhqWUd4cUR0azZwdXNWSFY2RmRORnJKQ3NRYkJ3bDlyTmR0Ui83UFh0d1ZQeXNYdGNvZEpxSEFBVkszalY4VEp0aEhXaWdoeXNtZThjYVVWOVBFbXBtTVJ3YVV6N3Y0cEJWemhsQmYwdW4xb05KVExOM1hiRU1NWkloSExLWjRCb2tZRFBQTUI0dm5Ld25LQkp6VXlFdnVRSHJ1aktBQ2cxZ1ZTaVp5MndnM2xWczBpK2ZqT2h1RkJtRThrQ0kvV25YLzhCdzd6bGc3Sk5CWElMNzh3QWNIL2IzeUNSMGE5Mjhnc2tMLzNrM1JqMUJwc1lLUlJManVZZVM5NDk1RE80OE4wMXQ4aTRvM3FNNlFzNGRadGhtIn0%3D&from_sustainable_property_sr=1&from=searchresults#hotelTmpl;28.41141845;-16.53787985;9.5;9.2;9.5;9.4;8.4;8.8;7.9
Santa Barbara Golf and Ocean Club;San Miguel de Abona;Apartament z 1 sypialnią;3.0;66.0;8.7;5511;No meal;False;3380;https://www.booking.com/hotel/es/santa-barbara-golf-and-ocean-club.pl.html?label=gen173nr-1FCAEoggI46AdIHlgEaLYBiAEBmAEeuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKL5tKyBsACAdICJDM0MTYyMzRkLWQ2NGYtNGNmOS1hZTRjLWM1ZWUzY2FlNTJkONgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-09-07&checkout=2024-09-14&dest_id=777&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&nflt=ht_id%3D204&srpvid=33c9730b5bbb051b&srepoch=1716826957&all_sr_blocks=18875801_88450784_4_0_0&highlighted_blocks=18875801_88450784_4_0_0&matching_block_id=18875801_88450784_4_0_0&sr_pri_blocks=18875801_88450784_4_0_0__79370&from_sustainable_property_sr=1&from=searchresults#hotelTmpl;28.02458565;-16.60764813;9.1;8.8;9.0;9.1;8.8;8.4;7.9
Apartamentos Masaru;Puerto de la Cruz;Studio z balkonem;3.0;36.0;8.5;7995;Breakfast;True;2951;https://www.booking.com/hotel/es/apartamentos-masaru.pl.html?label=gen173nr-1FCAEoggI46AdIHlgEaLYBiAEBmAEeuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKL5tKyBsACAdICJDM0MTYyMzRkLWQ2NGYtNGNmOS1hZTRjLWM1ZWUzY2FlNTJkONgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-09-07&checkout=2024-09-14&dest_id=777&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&nflt=ht_id%3D204&srpvid=33c9730b5bbb051b&srepoch=1716826957&all_sr_blocks=26255501_206144518_2_1_0&highlighted_blocks=26255501_206144518_2_1_0&matching_block_id=26255501_206144518_2_1_0&sr_pri_blocks=26255501_206144518_2_1_0__69300&from=searchresults#hotelTmpl;28.41487572;-16.53763711;9.3;8.4;9.0;8.6;8.9;8.6;7.6
Hollywood Mirage - Excel Hotels & Resorts;Los Cristianos;Studio;4.0;46.0;8.2;6293;No meal;False;3412;https://www.booking.com/hotel/es/the-suites-at-the-mirage.pl.html?label=gen173nr-1FCAEoggI46AdIHlgEaLYBiAEBmAEeuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKL5tKyBsACAdICJDM0MTYyMzRkLWQ2NGYtNGNmOS1hZTRjLWM1ZWUzY2FlNTJkONgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-09-07&checkout=2024-09-14&dest_id=777&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&nflt=ht_id%3D204&srpvid=33c9730b5bbb051b&srepoch=1716826957&all_sr_blocks=279407907_107028311_2_34_0&highlighted_blocks=279407907_107028311_2_34_0&matching_block_id=279407907_107028311_2_34_0&sr_pri_blocks=279407907_107028311_2_34_0__80136&from=searchresults#hotelTmpl;28.05269764;-16.70329571;8.8;8.2;8.1;8.2;8.2;7.6;8.3
Los Jardines de Abama Suites;Guía de Isora;Apartament typu Suite z 1 sypialnią i widokiem na morze;5.0;85.0;9.1;118;No meal;True;7552;https://www.booking.com/hotel/es/los-jardines-de-abama.pl.html?label=gen173nr-1FCAEoggI46AdIHlgEaLYBiAEBmAEeuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKL5tKyBsACAdICJDM0MTYyMzRkLWQ2NGYtNGNmOS1hZTRjLWM1ZWUzY2FlNTJkONgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-09-07&checkout=2024-09-14&dest_id=777&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&nflt=ht_id%3D204&srpvid=33c9730b5bbb051b&srepoch=1716826957&all_sr_blocks=725113003_359468763_0_2_0&highlighted_blocks=725113003_359468763_0_2_0&matching_block_id=725113003_359468763_0_2_0&sr_pri_blocks=725113003_359468763_0_2_0__177352&from_sustainable_property_sr=1&from=searchresults#hotelTmpl;28.17131343;-16.7909726;9.3;9.3;9.6;9.6;8.7;8.7;10.0
Parque Santiago III Official;Playa de las Americas;Studio typu Superior;3.0;30.0;8.8;2862;No meal;True;4471;https://www.booking.com/hotel/es/parque-santiago-iii-arona.pl.html?label=gen173nr-1FCAEoggI46AdIHlgEaLYBiAEBmAEeuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKL5tKyBsACAdICJDM0MTYyMzRkLWQ2NGYtNGNmOS1hZTRjLWM1ZWUzY2FlNTJkONgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-09-07&checkout=2024-09-14&dest_id=777&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&nflt=ht_id%3D204&srpvid=33c9730b5bbb051b&srepoch=1716826957&all_sr_blocks=372560429_376705820_2_2_0&highlighted_blocks=372560429_376705820_2_2_0&matching_block_id=372560429_376705820_2_2_0&sr_pri_blocks=372560429_376705820_2_2_0__105000&from=searchresults#hotelTmpl;28.05509258;-16.73327439;8.9;8.9;9.0;9.0;8.6;9.6;7.6
Sholeo Lodges Los Gigantes;Puerto de Santiago;Pokój dwuosobowy;3.0;;8.7;735;No meal;False;2027;https://www.booking.com/hotel/es/sholeo-los-gigantes.pl.html?label=gen173nr-1FCAEoggI46AdIHlgEaLYBiAEBmAEeuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKL5tKyBsACAdICJDM0MTYyMzRkLWQ2NGYtNGNmOS1hZTRjLWM1ZWUzY2FlNTJkONgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-09-07&checkout=2024-09-14&dest_id=777&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&nflt=ht_id%3D204&srpvid=33c9730b5bbb051b&srepoch=1716826957&all_sr_blocks=41540101_88209281_2_0_0&highlighted_blocks=41540101_88209281_2_0_0&matching_block_id=41540101_88209281_2_0_0&sr_pri_blocks=41540101_88209281_2_0_0__47600&from_sustainable_property_sr=1&from=searchresults#hotelTmpl;28.22487146;-16.83792382;9.3;8.9;8.8;8.8;8.9;9.0;8.8
Barceló Santiago - Adults Only;Puerto de Santiago;Pokój Dwuosobowy typu Superior;4.0;;8.5;3591;Breakfast;False;5508;https://www.booking.com/hotel/es/barcelo-santiago.pl.html?label=gen173nr-1FCAEoggI46AdIHlgEaLYBiAEBmAEeuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKL5tKyBsACAdICJDM0MTYyMzRkLWQ2NGYtNGNmOS1hZTRjLWM1ZWUzY2FlNTJkONgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-09-07&checkout=2024-09-14&dest_id=777&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&nflt=ht_id%3D204&srpvid=33c9730b5bbb051b&srepoch=1716826957&all_sr_blocks=9415555_140645934_2_41_0&highlighted_blocks=9415555_140645934_2_41_0&matching_block_id=9415555_140645934_2_41_0&sr_pri_blocks=9415555_140645934_2_41_0__129360&from_sustainable_property_sr=1&from=searchresults#hotelTmpl;28.23957129;-16.84443489;9.0;8.7;9.0;9.0;8.2;9.1;6.7
Palm Beach - Excel Hotels & Resorts;Playa de las Americas;Studio;3.0;44.0;8.0;6814;Breakfast;False;4630;https://www.booking.com/hotel/es/palm-beach-club.pl.html?label=gen173nr-1FCAEoggI46AdIHlgEaLYBiAEBmAEeuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKL5tKyBsACAdICJDM0MTYyMzRkLWQ2NGYtNGNmOS1hZTRjLWM1ZWUzY2FlNTJkONgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-09-07&checkout=2024-09-14&dest_id=777&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&nflt=ht_id%3D204&srpvid=33c9730b5bbb051b&srepoch=1716826957&all_sr_blocks=38786583_220764216_2_33_0&highlighted_blocks=38786583_220764216_2_33_0&matching_block_id=38786583_220764216_2_33_0&sr_pri_blocks=38786583_220764216_2_33_0__108720&from=searchresults#hotelTmpl;28.06882786;-16.73188806;8.9;7.8;7.8;7.8;8.0;9.4;7.7
